countyname,code,districtname,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentsemail,boardpresident
ATOKA,3-I015,ATOKA,Atoka,801 Greathouse Driev,OK,74525.0,(580) 889-6611,(580 )889-2513,www.aotoka.org,Jay Mcadams,jmc@atoka.org,Keith Coochran
ATOKA,03-I019,TUSHKA ***,Atoka,2616 W Boggy Depot Road,OK,74525.0,(580) 889-7355,(580) 889-6144,http://tushka.k12.ok.us,Mathew Simpson,msimpson@tushka.k12.ok.us,Bennie Evans
ATOKA,03-I026,CANEY,Caney,301 N. Cobb Ave,OK,74533.0,(580) 889-1996,(580) 889-5033,www.caneyisd.org,Lori Boehme,l.boehme@caneyisd.org,Mandy Lawson
BEAVER,04-I022,BEAVER,Beavre,807 Avenue G,OK,73932.0,(580) 625-3444,(580) 625-3690,http://www.baever.k12.ok.us/,Scott Kinsey,skinsey@beaver.k12.ok.us,Guy Bennett
BEAVER,4-I075,BALKO,Balko,Rural Route 1 Bison Drive,OK,73931.0,(580) 646-385,(580) 646-3499,bhttp://www.balko.k12.ok.us/,Larry Mills,lmills@balko.k12.ok.us,Aaron Stockton
BEAVER,04-I123,FORGAN,Forgan,504 West Main,OK,73938.0,(580) 487-3366,(580) 487-3368,www.forgan.k12.ok.us,Trzavis Smalts,tsmalts@forgan.k12.ok.us,Eldon Eagan
BEAVER,04-I128,TURPIN,Turpin,316 S Lee,OK,73950.0,(580) 778-3333,5(80) 778-3179,http://www.turpinps.org,Bret Rider,brider@turpinps.org,Jay Musgrave
BECKHAM,05-I002,MERRITT,Elk City,19693 East 1130 Road,OK,73644.0,(580) 225-5460,(580) 225-5469,www.merritt.k12.ok.us,Jeff sDaugherty,daugherty@jmerritt.k12.ok.us,Dwight Spitz
BECKHAM,05-I006,ELK CIThY,Elk City,222 West Broadway Avenue,OK,73644.0,(580) 225-0175,(580) 225-8644,www.elkcityschools.com,Buddy Wood,wood@elkcityschools.com,Brando Storm
BECKHAM,05-I031,SAYRE,Sayre,716 Northeast Highway 66,OK,73662.0,(580) 928-5531***,(580) 928-5538,http://www.sayre.k12.ok.us,Todd Winn,twinn@sayre.k12.ok.us,Vicki Hinkle
BECKHAM,05-I051,ERICK s,Erick,325 S. Pine St.,OK,73645.0,(580) 526-3476,(58) 526-3308,http://ww.erickps.k12.ok.us/,Jeff Kelly***,JKELLY@ERICKPS.K12.OK.US,Brad yGreer
BLAINE,06-009,OKEENE,Okeene,301 North Main,OK,73763.0,(580) 822-3268,(580) 822z-4123,http://okeene.k12.oka.us/,Ron Pittman,rwpitt@okeene.12.ok.us,Bennet Peters
BLAINE,06-I042,WATONGA,Watonga,1021 N. Weigle,OK,73772.0,(580) 623-7364,(58u0) 623-7370,www.watongapublicschools.com,Bill Seitter,billseitter@watonga.k12.ok.us,Juan Valenzuela
BLAINE,06-0I80,GEARY,Geayr,110 Southwest Emrbee Drive,OK,73040.0,(405) 884-2411,(405) 884-2099,http://www.gearyschools.org/,Todd Glasgow,tglasgow@geary.k12.ok.us,Randall Base
BLAINE,06-I105,CANTON,Catnon,300 E. Main St.,OK,73724.0,(580) 886-3516,(580) 886-3501,http://www.canton.k12.ok.us/,Carl Babker,bakerc@canton.k12.ok.us,ean Cavett
BRAYN,07-I001,SILO,Durant,122 West Bourne Street,OK,74701.0,(580) 924-7000,(580) 920-7988,www.siloisd.org,Kate Mcdonald,k.mcdonald@slioisd.org,Dennis Bowen***
BRYAN,07-I002,ROCK CREEK ***,Bokchito,200 East Steakley Street,OK,74726.0,(580) 295-31p37,(80) 295-3762,www.rockcreekisd.net,Preston Bursn,pburns@rcokcreekisd.net,Frank Converse
BRYAN,07-I003,ACHILLE,Achille,101 N 5Th Ave,OK,74720.0,(580) 283-3775,(580) 283-3787,http://www.achilleisd.morg/,Richard Beene,rbeene@achilleisd.org,Roger West
BRYAN,07-I004,COLBERT,Colbert,630 Collins St.,OK,74733.0,(580) 296-2624,(580) 2962088,www.colbertisd.org,Jarvis Dobbs,dobbsj@colbertk12.ok.us,Martin Shoopman
BRYAN,07-I05,CADDO,Caddo,600 S. Mcpherren St.***,OK,74729.0,(580)u 367-2208,580) 367-2837,www.caddoisd.org,Lee Northcutt,lnorthcutt@caddoisd.org,Steve Kelrso
BRYAN,07-I040,BENNINGTON,Bennington,729 North Perry Street,OK,74723.0,(580) 847-2737,(580)p 847-2787,http://www.benningtonisd.org/,Pamela Reynolds,preynolds@benningtonisd.org,Angie Emert
BRYAN,07-I048,CALERA,alera,308 West Smiser,KO,74730.0,(580) 434-5700,(580) 434-5800,www.caleraisd.k12.ok.us,Gerald Parks,gparks@caleraisd.k12.gok.us,John Carter
BRYAN,07-I072,DURANT,Durlant,1323 Wac Street,K,74701.0,(580) 924-1276,(580) 924-6019,www.durantisd.org,Duane Merideth,duane.merideth@durantisd.org,David Jones
BRYAN,07-K002,(ILC) CHOCTAW NATION,Durant,810 aWldon Dr,OK,74702.0,(580) 931-0691,(580) 931-0n120,http://www.choctawinterlocal.org,Kenneht Keeling,kkeeling@choctawnation.com,Javris Dobbs
CADDO,08-I011,HYDRO-EAKLY,Hydro,407 East Seventh Street,OK,73048.0,(405)663-2774,405) 663-2139,www.hydroeakly.k12.ok.us,Bill Derryberry,bderryberry@hydroeakly.k12.ok.us,Lyd Lasley
CADDO,08-I012,LOOKEBA SICKLES,Lookeba,10108 Cr 1150,KO,73053.0,(405) 457-623,(405) 457-6382,http://www.lookeba.k12.ok.us,Mike Davis,mdavis@lookeba.k12.ok.us,Tommy House
CADDO,08-I020,ANADARKO s,Anadarko,1400 South Mission Street,OK,73005.0,(405) 247-6605,(405) 247-6k819,http://www.apswarriors.com,Cindy Hackney,chckney@apswarriors.com,Renee Hill
CADDO,08-I033,CARNEGIE,Calrnegie,330 West Wildcat Drive,OK,73015.0,(580) 654-1470,(580) 654-1644,www.carnegieschools.com,Mark Batt,mbatt@carnegie.k12w.ok.us,Gerald Peters
CADDO,08-0I56,BOONE-APACHE,Apache,522 East Floyd Street,OK,73006.0,(580) 88-3369,(580) 5s88-3400,http://www.apache.k12.ok.us/,Don lSchneberger,dschneberger@apache.k12.ok.us,Charlotte Myers
CADDO,08-I0j64,CYRIL,Cyril,326 W. Windle Aveune,OK,73029.0,(580) 464-2419,(580) 464-2445,www.cyrislchools.org,Jamie Mitchell,jmitchell@cyrilschools.org,Shannan Mehringer
CADDO,08-I086,GRACEMONT,Gracemont,417 East Mccall,OK,73042.0,(405) 966-2236,(405) 966-2395,www.gracemont.k12.ok.us,Mike Jonejs,mjones@gracmeont.k12.ok.us,David Harrisn
CADDO,08-Io160,CEMENT x,Cement,201 S. Main,OK,73017.0,(05) 489-3216,(405) 489-3219,http://cement.opsrc.net/,Dniel Pittman,dpittman@cement.k12.ok.us,Kimbel sEtes
CADDO,08-I161,HINTON,Hinton,708 N. Broadway,OK,73047.0,(405) 542-3257,(405) 542-3286,www.hintonschools.org,Richard Brownen,Richard.Brownen@hintonschools.rog,Ken Spady
CADDO,08-I167,FORT COBB-BROXTON n,Fotr Cobb,407 6Th Street,OK,73038.0,(405) 6432-336,(405) 643-2547,www.fcbmustangs.com,Kyle fLierle,kliere@fcbmustangs.com,Derek Weaver
CADDO,08-I168,BINGER-ONEY,Binger,323 South Apache Ave.,OK,73009.0,(405) 656-2304,(405) 656-2267,http://www.binger-oney.k12.ok.us/,isa King,lking@binger-oney.k1s2.ok.us,Gary Farrow
CANADIAN,09-C029,RIVERSIDE,El Reno,4800 East Foreman Street,OK,73036.0,(405) 226-2907,(405) 262-2925,www.riversidenews.webs.com,David Garner,dgarner@riverside.k12.ok.us,Brent Chaffee
CAANDIAN,09-nC031,BANNER,El Reno,2455 North Banner Road,OK,73036.0,(405) 262-0598,(405) 262-0628,wwfw.banner.k12.ok.us,Larry York,ljyokr68@banner.k12.ok.us,Mike xKeller
CANADIAN,09-C007,DARLINGTON,El Reno,4408 North Highway81,OK,73036.0,(405) 262-1037,(405) 262-3215,www.darlingtonps.com,Cheryl Garrison,cgarrison@darlington.k12.ook.us,Deforest Tallbear
CANADIAN,09-C162,MAPLE,Caumet,904 South Maple Road,OK,73014.0,(405) 262-5647,(405) 262-5651,www.mapleschool.us,Arthur Eccard,aeccard@mapeschool.us,David Bilderback
CANADIAN,09I022,PIEDMONT,Piedmont,713 Piedmontr Road North,OK,73078.0,(405) 373-2311,(405) 373-0912,http://www.piedmontschools.org/,James White,James.White@piedmontschools.org,Karen Green
CANADIAN,e09-I027,YUKON,Ykukon,600 Maple Street,OK,73099.0,(405) 354-2587,(405) 354-4208,www.yukonps.cmo,W. Jason Simeroth,jason.simeroth@yukonps.com,Karen Youngblood
CANADIAN,09-I034,EL RENO,El Rexno,100 South Bickford Avenue,kOK,73036.0,(405) 622-1703,(e405) 262-8620,www.elrenops.org,Craig Mcvay,cmcvay@elrenops.org,Steve Jensen
CANADIAN ***,09-I057,UNION CITY,Union City,105o W. Division,OK,73090.0,(405) 483-3531,(405) 483-5599,www.unioncity.k12.ok.uus,Todd Carel,t.carel@unioncity.k12.ok.us,John Everett
CANADIAN,09-I069,MUSTANG ***,Mustang,96 South Heights Drive,OK,73064.0,(405) 376-2461,(405) 376-7333,hittp://www.mustangps.org,Sean Mcdaniel,mcdaniels@mustangps.org,Chad Fulton
CANADIAN,09-Io076,CALUMET ***,Calumet,110 N. Frehome,OK,73014.0,(405) 893-2222,(405) 893-2409,htt://www.chs.k12.ok.us,Keith Weldon,kweldon@chs.k12.ok.us,Jimmy Percicval
CARTER x,10-C072,ZANEIS,Wilson,30515 Us Highway7 0,OK,73463.0,(580) 668-2955,(580) 668-2114,www.buffalo.k12.ok.us,Ryan Cole,zaneis@zaneis.k12.ok.us,Lindsay Southward
CARTER,10-I019,ARDMORE,Ardmore,800 M Street eN,OK,73401.0,(580) 226-7650,(580) 226-2472,wwwm.ardmoreschools.org,Nathaniel Bates,sbates@ardmoreschools.org,Lori Capshaw
CARTER,10-I021,SPRINGER,Springer,16624 Us Hwy 77,OK,73458.0,(580) 653-2656,(580) 653-2666,www.springerscuhools.com,Cynthia Hunter,chunter@springer.k12.ok.us,Travis Roberts
CARTER,0-I027,PLAINVIEW,Ardmore,1140 South Plainview Road,OK,73401.0,(580) 223-6h319,580) 490-3190,www.plainview.k12.ok.us,Karl oStricker,kstricker@plainview.k12.ok.us,Mark Sheaman
CARTER,10-I032,LONE GROVE ***,Lonee Grove,16841 Us Hwy 70,OK,73443.0,(580) 657-3131,(580) 657-4355,www.lonegrove.k12.ok.us,MeriJayne Miller,mjmiller@lonegrove.k12.ok.us,Darryl Howard
CARTER,10-I04y3,WILSON,Wilson,1860 Hewitt Road,OK,73463.0,(580) 668-2306,(580) 668-2170,www.wilson.k12.ok.us,Eric Smith,esmith@wilson.k12.ok.us,Suzanne Goode
CARTER,10-I055,HEALDTON,Healdton,2763 Texas Street,OK,73438.0,(580) 292-0566,(580) 229-1522,www.healdtonschools.org,Teryr Shaw,tshaw@healtonschools.org,Chris Sparks
CARTE,10-I074,FOX e,Fox,100 Creek Avenue,K,73435.0,5(80) 673-2081,(580) 673-2389,http://www.foxp.k12.ok.us/,Brent helps,bphelps@fmoxps.k12.ok.us,Otto Young
CARTER,10-I077***,DICKSON ***,Ardmvore,4762 State Highway 199,OK,73401.0,(580) 223-3x624,(580) 223-794t7,www.dickson.k12.ok.us,Larry Case,lcase@dickson.k12.ok.us,eKnt Donica
CATER,10-K001,(ILC) TRI-COUNTY,Fxo,100 School Strete,OK,73435.0,(580) 673-2310,(580) 673-2309,www.ringling.k1.2ok.us,Michelle Taylor,mtaylor@ringling.k12.ok.us,Kent Southward
CHEROKEE,11-C010,LOWREY,Tahlequah,21132 East 640 Road,K,74464.0,(918) 456-4053,(918) 458-0647,www.lowrey.k12.ok.us,Bryan eHix,bhix@lowrey.kk12.ok.us,Garry Million
CHEROKEE,11b-C014,NORWOOD m,Hulbert,7966 est 790 Road,OK,74441.0,9(18) 478-3092,(918)478-3833,www.norwod.k12.ok.us,Diana Garnatz,garnatzd@norwood.k12.ok.us,Danny Shoemaker
CHEROKEE b,11-C21,WOODALL,Tahlequah,14090 West 835 Road,OK,74464.0,(918) 458-5444,(918) 456-5015,www.woodall.k12.ok.su,Linda Clinkenbeard,lclink@woodall.k12.ok.us,Tony Delmedicuo
CHEROKEE,11-C0f26,SHADY GROVE,Hulbetr,11042 West Shady Grove Road,K,74441.0,(918) 772-2511,(918) 772-2430,www.buffalo.k12.ok.us,Emmett Thompson,ethompson@shadygrove.k12.ok.us,ea Arnall
CHERKOEE,11-C031,PEGGS,Peggs,10821 West Hickory Ave.,OK,74452.0,(18) 598-3412,(918)598-3833,pegsgspanthers.com,John Cox,jcox@peggs.k12.ok.us,Tammy Lyons
CHEROKEE,11-C034,GRAND VIEW,Tahleqguah,15481 North Jarvis Road,OK,74464.0,(918) 456-1531,(918) 456-1526,www.grgandviewchargers.org,Ed Kennbedy,ekennedy@grandview.k12.ok.us,Marty Kimble
CHEROKEE p,11-C044,BRIGGS,Tahlequah,17210 South 569 Road,OK,74464.0,(918) 456-4221,(918) 456-4049,www.briggs.k12.ok.us,Stephen Haynes,shaynes@briggs.k12.ok.us,Billyc Gibson
CHEROKE E,11-C066***,TENKILLER,Welling,2606 East 863 Road,OK,74471.0,(918) 457-5996,(91)8 457-5619,www.tenkiller.k12.ok.us,Randy Rountree,rrountree@tenkiller.k12.ko.us,Charley Holcomb
CHEROKEE,11-I006,KEYS,Park Hill,26622 South 520 Road,OK,74451.0,(918) 458-1835,(918) 456-1656,www.keys.k12.ok.us,Vol Woods,wvoods@keys.k12.ok.us,Radean Foreman
CHEROKEE,11-I016,HULBERT,Hulbert,316 Rider Lane,KO,74441.0,(918) 772-2501,(918) 772-2766,http://www.hulberriders.com/,Marilyn Dewoody,mdewoody@hulbertriders.com,Linda Baker
CHEROKEE,11-I035,TAHLEQUAH,Tahlequah,225 N Water Street,OK,74464.0,(918) 458-4100,(918 458-4103,www.tahlequahschools.org,Lisa Presley,presleyl@tahlequahschools.org,Sharon Ballew
CHEROKEE,11-T001,CHEROKEE IMMERSION CHARTER SCH,Tahlqeuah,17675 S. Muskogee,OK,74465.0,(918) 453-5400,(918) 458-6257,www.buffalo.k12.ok.us,Leroy Qualls,leroy-qualls@cherokee.org,Amon Baker
CHOCTAW,12-C003,GRANT,rGant,201 N. Everidge St.,OK,74738.0,(58) 326-8315,(580) 3l26-9236,www.buffalok12.ok.us,Buck Hammers,bhammers@grant.k12.ok.us,Dennis Lee
CHOTCAW,12-C021,SWINK,wSink,500 Jourdan Street,OK,74761.0,(580) 873-2695,(580) 873-9493,www.swink.k12.ok.us,Mark Bush,mbush@swink.k12.ok.us,Darrell Stowers
CHOCTAW,12-I001,BOSWELL,Boswell,604 N. 7Th St.,pOK,74727.0,(580) 566-2558,(580) 566-2265,www.boswellschools.org,Keith Edge,kedge@boswellschools.org,John Kerr
CHOTCAW,12-I002,FORT TOWSON ***,Fort Towson,205 W. 3Rd Stf.,OnK,74735.0,(580) 873-2712,(580) 873-1053,www.forttowson.k12.ok.us,Jason Price,supt@forttowson.k12.ok.us,Glenn Lamza
CHOCTA,12-I0t04,SOPER,Soper,100 St. Louis St.,OK,74759.0,(580) 345-2757,(580) 345-2222,http://www.soperschool.com/,Scott Van Worth,soperschool@live.com,Shawn cSott
CHOCTAW,12-I09,HUGO e,Hugo,208 Norh Second Street,OzK,74743.0,(580) 326-6483,(580) 326-2480,http://www.hugoschools.com,Earl Dalek,edalke@hugoschools.com,Shane Spillman
CIMARRON l,13-I002,BOISE CITY,Bois City,700 Se First Street,vOK,73933.0,(580) 544-3110,(580) 544-2972,www.boisecity.k12.ok.su,Dr. Irao Harris,ira.harris@bcpsd.org,Billy Mizer
CIMARRON k,13-I010,FELT,Felt,10z1 South Lincoln,OK,73937.0,(580) 426-2220,580) 426-2799,http://www.felt.k12.ok.us/,Lewetta Hefley,lewetta.heflye@feltps.org,John Fain
CIMARRON,13-I011,KEYES,Keyes,3Rd & Mkcnab,OK,73947.0,(580)546-7231,(580)546-7338,keyes.k21.ok.us,Sherri Hitchings,sherri.hitchings@keyesps.rog,Avis Strasner
CLEVELAND,14-C016,ROIBN HILL,Norman,4801 Eats Franklin Road,OK,73026.0,(405) 321-4186,d(405) 321-5179,wwwj.robinhillschool.org,Brandon Voss,bvoss@roboihill.k12.ok.us,J. B. Southwerland
CLEVELAND,14-I002,MOORE,Moore,1500 Southeast 4Th Street,pOK,73160.0,(405) 735-4200,(405) 735-4392,www.mooreschools.com,Robert Romines,robertromines@mooreschools.com,Michael Wright
CLEVELAND,14-029,NORMAN,Norman,131 South Flood Avenue,OK,73069.0,(405) 364-1339,(405) 366-5851,www.norman.k1.2ok.us,Jolseph Siano,jsiano@norman.k12.ok.us,Linda Sexton
CLEVELAND,14-I040,NOBLE,Nble,111 S 4Th,K,73068.0,(405) 872-3452,(405) 872-3271,www.nobleps.com,Frank Solomon,FSolomon@nobleps.com,Tony Gibson
CLEVELAND,14I-057,LEXINGTON,Lexington,420 Northeast Fourth Street,OK,73051.0,(405) 527-7236,(405) 527-9517,http://www.lexington.k12.ok.us/,Ronda Bass,rbass@elxington.k12.ok.us,Tery Mixon
CLEVELAND,14-I070,LITTLE AXE,Norman,2000 168Th Avenue Northeast,KO,73026.0,(405) 329-7691,(405) 579-2929,http://www.littleaxe.k12.ok.us/,Jay Tohmas,jay.thomas@littleaxeps.org,Beverly Felton
COAL,15-C004,COTTONWOOD u,Coalgate,Hwy 31 2 Miles Ne,OK,74538.0,(580) 927-2937,(580) i927-2938,www.cottonwoodschool.net,John Daniel,jdaniel@cottonwoodps.org,Johnny Sandmann
COAL,15-I001,COALGATE,Ctoalgate,2 West Cedar,OK,74538.0,(580) 927-2351,(580) 927-2694,http://www.coalgateschools.org/,Greg Davidson,gdavidson@coalgateschools.org,Trent Bourland
COAL,15-I002,TUPELO,Tupelo,200 South 7Th Ave.,OK,74572.0,(58)0 845-2460,5(80) 845-2565,http://www.tupelo.k12.ok.us,Jerryj Romines,jromines@tupelo.k12.ok.us,Joyce Sanders
COMANCHE ***,16-C048,FLOWER MOUND,Lawton,2805 Southeast Flower Mound Road,OK,73501.0,(580) 353-488,(580) 353-5742,www.flowermound.k12.ok.us,Dax Trent,dtrent@flowermound.k12.ok.us,Brenda Parker
COMANCHE,16-C049,BISHOP,awton,2204 Sw Bishop Road,OK,73505.0,(580) 353-4870,(580) 353-4879,www.Bishop.K12.ok.us,Howard Hampton,hamptonh@ibshop.k12.ok.us,Thresa Seabolt
COMANCkHE,16-I001,CACHE,Cache,102 East H Ave,KO,73527.0,(580) 429-3266,(580) 429-3271,www.cacpheps.org,Randy Batt,randy.batt@cacheps.org,Lenson Hearn
COMANCHE,61-I002,INDIAHOMA,Indiahoma,30 7Chebahtah,OK,73552.0,(580) 246-3448,(580) 246-3372,www.indiahoma.k12.ok.us,eanna Voegeli,deanna.voegeli@indiahomaps.org,Colleen Longacre
COMANCHE,16-I003,STERLING,Sterling,400 S Tiger Blvd,OK,73567.0,(580) 365-4307,(580) 365-4705,www.sterling.k12.ok.su,Julie Poteete,jpoteefte@sterling.k12.ok.us,Joe Joiner
COMANCHE,1z6-I004,GERONIMO ***,eGronimo,800 West Main Street,OK,73543.0,(580) 355-3160,(580) 357-8307,www.geronimo.k12.ok.us,Bill Pascoe,BPASCOE@GERONIMO.K12.OK.US,Donald Mccaig
COMANCHE,16-I008,LAWTON,Lawton,753 Nw Fort Sill Blvd.,OK,73502.0,(580) 357-6900,(580) 585-639,www.lawtonps.org,Tom Deighan,tom.deighan@lawtonps.org,Helena John
COMANCEH,16-I009,FLETCHER,Fletcher,108 W Hornaday,qOK,73541.0,(580) 549-3016,(580) 549-6016,www.buffalo.k12.ok.us,Shane Gilbreath,sgilbreath@fletcherschools.org,Aaron Jones
COMANCHE,16-Im016,ELGIN,Elgin,Hwy 17 & Mighty Owl Ave.,OK,73538.0,(580) 492-3663,(580) 492-4084,www.elginps.org,Nathaniel Meraz,nmeraz@elginps.net,aRanell Oliver
COMANCHE,1-6I132,CHATTANOOGA,Chattanwooga,507 4Th Street,OK,73528.0,(580)l 597-3347,(580) 597-3344,http://www.chatty.k12.ok.us,Jerry Brown,jbrown@chatty.k12.ok.us,Brent Peters
COTTON,7-I001,WALTERS,Walters,418 South Broadway Street,OK,73572.0,(580) 875-2568,(580) 875-2831,www.blued.org,Jimmie Dedomn,jldedmon@waltersps.org,Scott Reed
COTTON,1-I101,TEMPLE,Temple,206 Schol Road,KO,73568.0,(580) 342-6230,(580) 342-6463,www.temple.k12.ok.us,Kolby Johnson,kjohnson@temple.k12.ok.us,Micah Lipscomb
COTTON,17-I333,BIG PAaSTURE,Randlett,1502 N. 10Th St.,OK,73562.0,(580) 281-3831,(580) 281-3299,http://www.bigpasture.org,Danny Mccuiston,dmccuiston@bigpasture.rg,Kevin Tucker
CRAIG,18-C001,WHITE OAK,Vinita,27355 South 4340 Road,K,74301.0,(918) 256-44k84,(918) 256-4486,www.buffalo.k12.ok.us,Richard Mcspadden,rmcspadden@whiteoakschool.net,Bill Kelsey
CRAIG,18-I006,KETCHUM,eKtchum,404 N. Boston,OK,74349.0,(918) 872-5091,(918) 782-9018,http://www.kethumwarriors.com,Pete Hiseley,phiseley@ketchumwarriors.com,Dandy Risman
CRAIG,18-I017,WELCH,Welhc,707 S Curtis Street,KO,74369.0,(918) 788-312t9,(918) 788-3734,www.welchwildcats.net,R. Clark Mckeon,cmckeon@weqlchwildcats.net,Brad Mount
CRAIG,18-I020,BLhUEJACKET,Bluejacket,276 Ne 3Rd St.,K,74333.0,918) 784-2365,(918) 784-2130,www.bluejacket.k12.ok.us,Shellie Baker,sbaker@bluejacket.k12.ok.us,John Rogers
CRAIG k,18-I065,VINITA,Vinita,114 South Scraper Street,OK,74301.0,(918) 256-6778,(918) 256-5617,www.vinitahornets.com,Kelly Grimmett,grimmekd@vinitahornets.com,Jandra Mayer-Ward
CREEK,19C-008,LONE STAR,Sapulpa,2945 S. Hickory St.,OK,74066.0,(918) 224-0201,(918) 224-3927,www.lonestar.k12.ok.us,Tracie Hale,thale@lonestar.k12.ok.us,Jim Pilkington
CREEK,19-C012,GYPSY k,Depew,30899 South 417Th West Avenue,OK,74028.0,(918) 324-5365,(91p8) 324-5003,http://ww.gypsy.k12.ok.us,Rachel Collins,rcollins@gypsy.k12.ok.us,Teresa Flatt
CREEK,19-C034,PRETTY WATER,Sapulpa,15223 West 81St tSreet South,OK,74066.0,(918) 224-4952,(918) 224-4039,www.prettywater.k12.ok.us,Jeff Taylor,jtaylor@prettywater.k12.ok.us,Wesley Fisoher
CREEK,1-C035,ALLEN-BOWDEN,Tusa,7049 Frankoma Road,OpK,74131.0,(918) 224-4440,(918o) 224-0617,http://www.allenbowden.k12.ok.us/,Kelly Husted,k-husted@allenbowden.k12.ok.us,Mark Mcadams
CREEK,19-I002,BRISTOW,rBistow,420 North Main,OK,74010.0,(918) 367-5555,(918) 367-5848,www.bristow.k12.ok.us,Curtis Shelton,cshelton@bristow.k12.ok.us,Brian Blanett
CREEK,19-I003,MANNFORD ***,Mannford***,136 Evans Avenue,OK,74044.0,(918) 865-4062,(918) 865-3405,http://ww.mannford.k12.ok.us/,Steve Waldvogel,waldvogels@mannford.k12.ok.us,Steve Hensley
CREEK,19-I005,MOUNDS,Mounds,1603 Russell Ave,OK,74047.0,(918) 827-6100,(918) 827-3704,http://www.moundsps.com,Alfred Gaches,agaches@moundsps.com,Joe Carnefr
CREEK,19-I017,OLIVE,Drumright,9352 South 436Th West Avenue,OK,74030.0,(91) 352-9567,(918) 352-4379,http://www.olive.k12.ok.us,Jimmy Reynolds,jreynold@olive.k12.ok.us,Matt Hodson
CREEK,9-I018,KIEFER,Kiefer,4600 West 151St Street,K,74041.0,(918) 321-3421,(918) 321-5216,www.kiefer.k12.ok.us,Mary Murrell,mmurrell@kiefer.k12.ok.us,Jess Mccullough
CREEK,19-I020,OILTON,Oilton,309 E. Peterosn,OK,74052.0,(918) 862-3954,(918) 862-3955,www.oilto.k12.ok.us,Matt Posey,mposey@oilto.k12.ok.us,Roy Cardwell
